filepath,label,split
data/input/Fish\Discuss\Discuss_158.jpg,Discuss,train
data/input/Fish\Guppy\Guppy_29.jpg,Guppy,train
data/input/Fish\Bete\Bete_44.jpg,Bete,train
data/input/Fish\Discuss\Discuss_107.jpg,Discuss,train
data/input/Fish\Oscar\Oscar_99.jpg,Oscar,train
data/input/Fish\Oscar\Oscar_69.jpg,Oscar,train
data/input/Fish\Discuss\Discuss_84.jpg,Discuss,train
data/input/Fish\Discuss\Discuss_133.jpg,Discuss,train
data/input/Fish\Gold\Gold_25.jpg,Gold,train
data/input/Fish\Discuss\Discuss_130.jpg,Discuss,train
data/input/Fish\Oscar\Oscar_126.jpg,Oscar,train
data/input/Fish\Discuss\Discuss_35.jpg,Discuss,train
data/input/Fish\Gold\Gold_77.jpg,Gold,train
data/input/Fish\Guppy\Guppy_63.png,Guppy,train
data/input/Fish\Oscar\Oscar_93.jpg,Oscar,train
data/input/Fish\Oscar\Oscar_125.jpg,Oscar,train
data/input/Fish\Oscar\Oscar_137.png,Oscar,train
data/input/Fish\Guppy\Guppy_135.jpg,Guppy,train
data/input/Fish\Guppy\Guppy_36.jpg,Guppy,train
data/input/Fish\Discuss\Discuss_136.jpg,Discuss,train
data/input/Fish\Discuss\Discuss_57.jpg,Discuss,train
data/input/Fish\Discuss\Discuss_148.jpg,Discuss,train
data/input/Fish\Bete\Bete_172.jpg,Bete,train
data/input/Fish\Discuss\Discuss_173.jpg,Discuss,train
data/input/Fish\Bete\Bete_154.jpg,Bete,train
data/input/Fish\Discuss\Discuss_38.jpg,Discuss,train
data/input/Fish\Gold\Gold_51.jpg,Gold,train
data/input/Fish\Gold\Gold_162.jpg,Gold,train
data/input/Fish\Discuss\Discuss_146.jpg,Discuss,train
data/input/Fish\Discuss\Discuss_137.jpg,Discuss,train
data/input/Fish\Gold\Gold_143.jpg,Gold,train
data/input/Fish\Gold\Gold_26.jpg,Gold,train
data/input/Fish\Bete\Bete_158.jpg,Bete,train
data/input/Fish\Cray\Cray_29.jpg,Cray,train
data/input/Fish\Oscar\Oscar_73.jpg,Oscar,train
data/input/Fish\Oscar\Oscar_14.jpg,Oscar,train
data/input/Fish\Bete\Bete_24.jpg,Bete,train
data/input/Fish\Discuss\Discuss_87.jpg,Discuss,train
data/input/Fish\Gold\Gold_148.jpg,Gold,train
data/input/Fish\Gold\Gold_163.jpg,Gold,train
data/input/Fish\Oscar\Oscar_38.jpg,Oscar,train
data/input/Fish\Oscar\Oscar_100.jpg,Oscar,train
data/input/Fish\Guppy\Guppy_51.png,Guppy,train
data/input/Fish\Gold\Gold_180.jpg,Gold,train
data/input/Fish\Gold\Gold_149.jpg,Gold,train
data/input/Fish\Oscar\Oscar_44.jpg,Oscar,train
data/input/Fish\Gold\Gold_43.jpg,Gold,train
data/input/Fish\Bete\Bete_54.jpg,Bete,train
data/input/Fish\Guppy\Guppy_77.jpg,Guppy,train
data/input/Fish\Guppy\Guppy_20.jpg,Guppy,train
data/input/Fish\Bete\Bete_5.jpg,Bete,train
data/input/Fish\Bete\Bete_119.jpg,Bete,train
data/input/Fish\Oscar\Oscar_3.jpg,Oscar,train
data/input/Fish\Cray\Cray_15.jpg,Cray,train
data/input/Fish\Discuss\Discuss_170.png,Discuss,train
data/input/Fish\Guppy\Guppy_110.jpg,Guppy,train
data/input/Fish\Gold\Gold_125.jpg,Gold,train
data/input/Fish\Gold\Gold_24.jpg,Gold,train
data/input/Fish\Gold\Gold_28.jpg,Gold,train
data/input/Fish\Bete\Bete_188.jpg,Bete,train
data/input/Fish\Bete\Bete_190.jpg,Bete,train
data/input/Fish\Bete\Bete_109.jpg,Bete,train
data/input/Fish\Bete\Bete_92.jpg,Bete,train
data/input/Fish\Guppy\Guppy_138.jpg,Guppy,train
data/input/Fish\Bete\Bete_39.jpg,Bete,train
data/input/Fish\Gold\Gold_83.jpg,Gold,train
data/input/Fish\Discuss\Discuss_69.jpg,Discuss,train
data/input/Fish\Gold\Gold_47.jpg,Gold,train
data/input/Fish\Guppy\Guppy_99.jpg,Guppy,train
data/input/Fish\Discuss\Discuss_189.jpg,Discuss,train
data/input/Fish\Oscar\Oscar_13.jpg,Oscar,train
data/input/Fish\Gold\Gold_95.jpg,Gold,train
data/input/Fish\Gold\Gold_172.jpg,Gold,train
data/input/Fish\Guppy\Guppy_46.png,Guppy,train
data/input/Fish\Gold\Gold_116.jpg,Gold,train
data/input/Fish\Discuss\Discuss_28.jpg,Discuss,train
data/input/Fish\Guppy\Guppy_126.jpg,Guppy,train
data/input/Fish\Discuss\Discuss_102.jpg,Discuss,train
data/input/Fish\Gold\Gold_186.jpg,Gold,train
data/input/Fish\Discuss\Discuss_115.jpg,Discuss,train
data/input/Fish\Guppy\Guppy_159.jpg,Guppy,train
data/input/Fish\Discuss\Discuss_77.jpg,Discuss,train
data/input/Fish\Discuss\Discuss_19.jpg,Discuss,train
data/input/Fish\Guppy\Guppy_24.jpg,Guppy,train
data/input/Fish\Cray\Cray_48.jpg,Cray,train
data/input/Fish\Cray\Cray_28.jpg,Cray,train
data/input/Fish\Oscar\Oscar_84.jpg,Oscar,train
data/input/Fish\Bete\Bete_30.jpg,Bete,train
data/input/Fish\Bete\Bete_145.jpg,Bete,train
data/input/Fish\Gold\Gold_152.jpg,Gold,train
data/input/Fish\Guppy\Guppy_72.png,Guppy,train
data/input/Fish\Gold\Gold_177.jpg,Gold,train
data/input/Fish\Bete\Bete_81.jpg,Bete,train
data/input/Fish\Discuss\Discuss_195.jpg,Discuss,train
data/input/Fish\Cray\Cray_23.jpg,Cray,train
data/input/Fish\Guppy\Guppy_58.jpg,Guppy,train
data/input/Fish\Discuss\Discuss_135.jpg,Discuss,train
data/input/Fish\Bete\Bete_95.jpg,Bete,train
data/input/Fish\Gold\Gold_34.jpg,Gold,train
data/input/Fish\Discuss\Discuss_166.jpg,Discuss,train
data/input/Fish\Oscar\Oscar_77.jpg,Oscar,train
data/input/Fish\Bete\Bete_50.jpg,Bete,train
data/input/Fish\Gold\Gold_106.jpg,Gold,train
data/input/Fish\Guppy\Guppy_65.png,Guppy,train
data/input/Fish\Discuss\Discuss_31.jpg,Discuss,train
data/input/Fish\Bete\Bete_120.jpg,Bete,train
data/input/Fish\Bete\Bete_53.jpg,Bete,train
data/input/Fish\Guppy\Guppy_179.jpg,Guppy,train
data/input/Fish\Guppy\Guppy_153.jpg,Guppy,train
data/input/Fish\Oscar\Oscar_104.jpg,Oscar,train
data/input/Fish\Bete\Bete_47.jpg,Bete,train
data/input/Fish\Guppy\Guppy_106.jpg,Guppy,train
data/input/Fish\Gold\Gold_123.jpg,Gold,train
data/input/Fish\Discuss\Discuss_109.jpg,Discuss,train
data/input/Fish\Discuss\Discuss_138.jpg,Discuss,train
data/input/Fish\Bete\Bete_15.jpg,Bete,train
data/input/Fish\Discuss\Discuss_51.jpg,Discuss,train
data/input/Fish\Guppy\Guppy_161.jpg,Guppy,train
data/input/Fish\Discuss\Discuss_8.jpg,Discuss,train
data/input/Fish\Bete\Bete_183.jpg,Bete,train
data/input/Fish\Bete\Bete_133.jpg,Bete,train
data/input/Fish\Bete\Bete_116.jpg,Bete,train
data/input/Fish\Gold\Gold_54.jpg,Gold,train
data/input/Fish\Bete\Bete_128.jpg,Bete,train
data/input/Fish\Gold\Gold_110.jpg,Gold,train
data/input/Fish\Oscar\Oscar_112.png,Oscar,train
data/input/Fish\Discuss\Discuss_30.jpg,Discuss,train
data/input/Fish\Bete\Bete_76.jpg,Bete,train
data/input/Fish\Bete\Bete_169.jpg,Bete,train
data/input/Fish\Cray\Cray_21.jpg,Cray,train
data/input/Fish\Oscar\Oscar_86.jpg,Oscar,train
data/input/Fish\Discuss\Discuss_114.jpg,Discuss,train
data/input/Fish\Gold\Gold_21.jpg,Gold,train
data/input/Fish\Discuss\Discuss_43.jpg,Discuss,train
data/input/Fish\Gold\Gold_196.jpg,Gold,train
data/input/Fish\Oscar\Oscar_131.png,Oscar,train
data/input/Fish\Discuss\Discuss_181.jpg,Discuss,train
data/input/Fish\Guppy\Guppy_160.jpg,Guppy,train
data/input/Fish\Discuss\Discuss_196.jpg,Discuss,train
data/input/Fish\Guppy\Guppy_18.jpg,Guppy,train
data/input/Fish\Bete\Bete_19.jpg,Bete,train
data/input/Fish\Discuss\Discuss_168.jpg,Discuss,train
data/input/Fish\Bete\Bete_139.jpg,Bete,train
data/input/Fish\Guppy\Guppy_105.jpg,Guppy,train
data/input/Fish\Discuss\Discuss_78.jpg,Discuss,train
data/input/Fish\Guppy\Guppy_166.jpg,Guppy,train
data/input/Fish\Discuss\Discuss_194.jpg,Discuss,train
data/input/Fish\Bete\Bete_122.jpg,Bete,train
data/input/Fish\Guppy\Guppy_142.jpg,Guppy,train
data/input/Fish\Guppy\Guppy_74.png,Guppy,train
data/input/Fish\Bete\Bete_94.jpg,Bete,train
data/input/Fish\Oscar\Oscar_54.jpg,Oscar,train
data/input/Fish\Bete\Bete_173.jpg,Bete,train
data/input/Fish\Cray\Cray_37.jpg,Cray,train
data/input/Fish\Gold\Gold_52.jpg,Gold,train
data/input/Fish\Oscar\Oscar_39.jpg,Oscar,train
data/input/Fish\Discuss\Discuss_99.jpg,Discuss,train
data/input/Fish\Gold\Gold_45.jpg,Gold,train
data/input/Fish\Guppy\Guppy_69.png,Guppy,train
data/input/Fish\Cray\Cray_47.jpg,Cray,train
data/input/Fish\Bete\Bete_177.jpg,Bete,train
data/input/Fish\Discuss\Discuss_41.jpg,Discuss,train
data/input/Fish\Gold\Gold_139.jpg,Gold,train
data/input/Fish\Guppy\Guppy_37.jpg,Guppy,train
data/input/Fish\Bete\Bete_1.jpg,Bete,train
data/input/Fish\Oscar\Oscar_58.jpg,Oscar,train
data/input/Fish\Guppy\Guppy_109.jpg,Guppy,train
data/input/Fish\Guppy\Guppy_152.jpg,Guppy,train
data/input/Fish\Discuss\Discuss_76.jpg,Discuss,train
data/input/Fish\Discuss\Discuss_180.jpg,Discuss,train
data/input/Fish\Discuss\Discuss_46.jpg,Discuss,train
data/input/Fish\Bete\Bete_160.jpg,Bete,train
data/input/Fish\Bete\Bete_62.jpg,Bete,train
data/input/Fish\Gold\Gold_88.jpg,Gold,train
data/input/Fish\Gold\Gold_132.jpg,Gold,train
data/input/Fish\Cray\Cray_34.jpg,Cray,train
data/input/Fish\Oscar\Oscar_37.jpg,Oscar,train
data/input/Fish\Guppy\Guppy_83.jpg,Guppy,train
data/input/Fish\Discuss\Discuss_25.jpg,Discuss,train
data/input/Fish\Bete\Bete_124.jpg,Bete,train
data/input/Fish\Bete\Bete_48.jpg,Bete,train
data/input/Fish\Bete\Bete_6.jpg,Bete,train
data/input/Fish\Discuss\Discuss_10.jpg,Discuss,train
data/input/Fish\Guppy\Guppy_182.jpg,Guppy,train
data/input/Fish\Oscar\Oscar_123.jpg,Oscar,train
data/input/Fish\Bete\Bete_187.jpg,Bete,train
data/input/Fish\Gold\Gold_178.jpg,Gold,train
data/input/Fish\Bete\Bete_100.jpg,Bete,train
data/input/Fish\Discuss\Discuss_42.jpg,Discuss,train
data/input/Fish\Discuss\Discuss_11.jpg,Discuss,train
data/input/Fish\Bete\Bete_68.jpg,Bete,train
data/input/Fish\Discuss\Discuss_176.jpg,Discuss,train
data/input/Fish\Guppy\Guppy_111.jpg,Guppy,train
data/input/Fish\Guppy\Guppy_131.jpg,Guppy,train
data/input/Fish\Bete\Bete_131.jpg,Bete,train
data/input/Fish\Bete\Bete_80.jpg,Bete,train
data/input/Fish\Gold\Gold_98.jpg,Gold,train
data/input/Fish\Guppy\Guppy_170.jpg,Guppy,train
data/input/Fish\Oscar\Oscar_16.jpg,Oscar,train
data/input/Fish\Guppy\Guppy_90.jpg,Guppy,train
data/input/Fish\Cray\Cray_35.jpg,Cray,train
data/input/Fish\Guppy\Guppy_167.jpg,Guppy,train
data/input/Fish\Discuss\Discuss_159.jpg,Discuss,train
data/input/Fish\Guppy\Guppy_85.jpg,Guppy,train
data/input/Fish\Gold\Gold_151.jpg,Gold,train
data/input/Fish\Cray\Cray_36.jpg,Cray,train
data/input/Fish\Gold\Gold_187.jpg,Gold,train
data/input/Fish\Oscar\Oscar_80.jpg,Oscar,train
data/input/Fish\Gold\Gold_30.jpg,Gold,train
data/input/Fish\Gold\Gold_55.jpg,Gold,train
data/input/Fish\Guppy\Guppy_164.jpg,Guppy,train
data/input/Fish\Cray\Cray_76.jpg,Cray,train
data/input/Fish\Bete\Bete_64.jpg,Bete,train
data/input/Fish\Guppy\Guppy_23.jpg,Guppy,train
data/input/Fish\Bete\Bete_136.jpg,Bete,train
data/input/Fish\Discuss\Discuss_127.jpg,Discuss,train
data/input/Fish\Gold\Gold_37.jpg,Gold,train
data/input/Fish\Gold\Gold_129.jpg,Gold,train
data/input/Fish\Discuss\Discuss_96.jpg,Discuss,train
data/input/Fish\Cray\Cray_72.jpg,Cray,train
data/input/Fish\Discuss\Discuss_26.jpg,Discuss,train
data/input/Fish\Discuss\Discuss_60.jpg,Discuss,train
data/input/Fish\Guppy\Guppy_185.jpg,Guppy,train
data/input/Fish\Gold\Gold_17.jpg,Gold,train
data/input/Fish\Discuss\Discuss_200.jpg,Discuss,train
data/input/Fish\Guppy\Guppy_94.jpg,Guppy,train
data/input/Fish\Discuss\Discuss_154.jpg,Discuss,train
data/input/Fish\Guppy\Guppy_124.jpg,Guppy,train
data/input/Fish\Discuss\Discuss_145.jpg,Discuss,train
data/input/Fish\Discuss\Discuss_191.jpg,Discuss,train
data/input/Fish\Discuss\Discuss_82.jpg,Discuss,train
data/input/Fish\Gold\Gold_61.jpg,Gold,train
data/input/Fish\Cray\Cray_69.jpg,Cray,train
data/input/Fish\Gold\Gold_108.jpg,Gold,train
data/input/Fish\Oscar\Oscar_21.jpg,Oscar,train
data/input/Fish\Discuss\Discuss_140.jpg,Discuss,train
data/input/Fish\Guppy\Guppy_82.jpg,Guppy,train
data/input/Fish\Guppy\Guppy_8.jpg,Guppy,train
data/input/Fish\Guppy\Guppy_52.png,Guppy,train
data/input/Fish\Oscar\Oscar_34.jpg,Oscar,train
data/input/Fish\Guppy\Guppy_45.png,Guppy,train
data/input/Fish\Cray\Cray_80.jpg,Cray,train
data/input/Fish\Cray\Cray_75.jpg,Cray,train
data/input/Fish\Guppy\Guppy_118.jpg,Guppy,train
data/input/Fish\Gold\Gold_198.jpg,Gold,train
data/input/Fish\Gold\Gold_155.jpg,Gold,train
data/input/Fish\Guppy\Guppy_40.png,Guppy,train
data/input/Fish\Gold\Gold_107.jpg,Gold,train
data/input/Fish\Guppy\Guppy_130.jpg,Guppy,train
data/input/Fish\Oscar\Oscar_74.jpg,Oscar,train
data/input/Fish\Gold\Gold_145.jpg,Gold,train
data/input/Fish\Discuss\Discuss_71.jpg,Discuss,train
data/input/Fish\Bete\Bete_27.jpg,Bete,train
data/input/Fish\Discuss\Discuss_9.jpg,Discuss,train
data/input/Fish\Oscar\Oscar_85.jpg,Oscar,train
data/input/Fish\Discuss\Discuss_21.jpg,Discuss,train
data/input/Fish\Cray\Cray_50.jpg,Cray,train
data/input/Fish\Guppy\Guppy_84.jpg,Guppy,train
data/input/Fish\Guppy\Guppy_186.png,Guppy,train
data/input/Fish\Gold\Gold_86.jpg,Gold,train
data/input/Fish\Discuss\Discuss_93.jpg,Discuss,train
data/input/Fish\Gold\Gold_127.jpg,Gold,train
data/input/Fish\Bete\Bete_104.jpg,Bete,train
data/input/Fish\Gold\Gold_60.jpg,Gold,train
data/input/Fish\Discuss\Discuss_40.jpg,Discuss,train
data/input/Fish\Bete\Bete_3.jpg,Bete,train
data/input/Fish\Discuss\Discuss_20.jpg,Discuss,train
data/input/Fish\Guppy\Guppy_47.png,Guppy,train
data/input/Fish\Oscar\Oscar_82.jpg,Oscar,train
data/input/Fish\Bete\Bete_28.jpg,Bete,train
data/input/Fish\Guppy\Guppy_134.jpg,Guppy,train
data/input/Fish\Oscar\Oscar_50.jpg,Oscar,train
data/input/Fish\Gold\Gold_191.jpg,Gold,train
data/input/Fish\Oscar\Oscar_71.jpg,Oscar,train
data/input/Fish\Gold\Gold_141.jpg,Gold,train
data/input/Fish\Discuss\Discuss_70.jpg,Discuss,train
data/input/Fish\Oscar\Oscar_102.jpg,Oscar,train
data/input/Fish\Gold\Gold_133.jpg,Gold,train
data/input/Fish\Gold\Gold_113.jpg,Gold,train
data/input/Fish\Gold\Gold_207.jpg,Gold,train
data/input/Fish\Oscar\Oscar_65.jpg,Oscar,train
data/input/Fish\Oscar\Oscar_141.png,Oscar,train
data/input/Fish\Bete\Bete_38.jpg,Bete,train
data/input/Fish\Guppy\Guppy_87.jpg,Guppy,train
data/input/Fish\Guppy\Guppy_114.jpg,Guppy,train
data/input/Fish\Guppy\Guppy_104.jpg,Guppy,train
data/input/Fish\Discuss\Discuss_36.jpg,Discuss,train
data/input/Fish\Bete\Bete_153.jpg,Bete,train
data/input/Fish\Guppy\Guppy_162.jpg,Guppy,train
data/input/Fish\Guppy\Guppy_60.png,Guppy,train
data/input/Fish\Guppy\Guppy_174.jpg,Guppy,train
data/input/Fish\Bete\Bete_176.jpg,Bete,train
data/input/Fish\Bete\Bete_58.jpg,Bete,train
data/input/Fish\Discuss\Discuss_178.jpg,Discuss,train
data/input/Fish\Bete\Bete_115.jpg,Bete,train
data/input/Fish\Bete\Bete_162.jpg,Bete,train
data/input/Fish\Cray\Cray_25.jpg,Cray,train
data/input/Fish\Bete\Bete_135.jpg,Bete,train
data/input/Fish\Guppy\Guppy_154.jpg,Guppy,train
data/input/Fish\Bete\Bete_65.jpg,Bete,train
data/input/Fish\Discuss\Discuss_157.jpg,Discuss,train
data/input/Fish\Oscar\Oscar_96.jpg,Oscar,train
data/input/Fish\Guppy\Guppy_156.jpg,Guppy,train
data/input/Fish\Gold\Gold_68.jpg,Gold,train
data/input/Fish\Oscar\Oscar_139.png,Oscar,train
data/input/Fish\Bete\Bete_127.jpg,Bete,train
data/input/Fish\Discuss\Discuss_165.jpg,Discuss,train
data/input/Fish\Bete\Bete_84.jpg,Bete,train
data/input/Fish\Gold\Gold_53.jpg,Gold,train
data/input/Fish\Guppy\Guppy_38.jpg,Guppy,train
data/input/Fish\Gold\Gold_35.jpg,Gold,train
data/input/Fish\Bete\Bete_140.jpg,Bete,train
data/input/Fish\Gold\Gold_31.jpg,Gold,train
data/input/Fish\Gold\Gold_40.jpg,Gold,train
data/input/Fish\Gold\Gold_111.jpg,Gold,train
data/input/Fish\Gold\Gold_140.jpg,Gold,train
data/input/Fish\Guppy\Guppy_9.jpg,Guppy,train
data/input/Fish\Guppy\Guppy_79.jpg,Guppy,train
data/input/Fish\Guppy\Guppy_71.png,Guppy,train
data/input/Fish\Guppy\Guppy_95.jpg,Guppy,train
data/input/Fish\Oscar\Oscar_79.jpg,Oscar,train
data/input/Fish\Discuss\Discuss_63.jpg,Discuss,train
data/input/Fish\Oscar\Oscar_47.jpg,Oscar,train
data/input/Fish\Discuss\Discuss_54.jpg,Discuss,train
data/input/Fish\Oscar\Oscar_8.jpg,Oscar,train
data/input/Fish\Gold\Gold_99.jpg,Gold,train
data/input/Fish\Cray\Cray_68.jpg,Cray,train
data/input/Fish\Bete\Bete_98.jpg,Bete,train
data/input/Fish\Guppy\Guppy_70.png,Guppy,train
data/input/Fish\Gold\Gold_158.jpg,Gold,train
data/input/Fish\Guppy\Guppy_42.png,Guppy,train
data/input/Fish\Discuss\Discuss_100.jpg,Discuss,train
data/input/Fish\Discuss\Discuss_89.jpg,Discuss,train
data/input/Fish\Oscar\Oscar_43.jpg,Oscar,train
data/input/Fish\Cray\Cray_17.jpg,Cray,train
data/input/Fish\Guppy\Guppy_177.jpg,Guppy,train
data/input/Fish\Cray\Cray_18.jpg,Cray,train
data/input/Fish\Guppy\Guppy_116.jpg,Guppy,train
data/input/Fish\Oscar\Oscar_127.jpg,Oscar,train
data/input/Fish\Discuss\Discuss_161.png,Discuss,train
data/input/Fish\Cray\Cray_55.jpg,Cray,train
data/input/Fish\Gold\Gold_41.jpg,Gold,train
data/input/Fish\Discuss\Discuss_33.jpg,Discuss,train
data/input/Fish\Guppy\Guppy_33.jpg,Guppy,train
data/input/Fish\Oscar\Oscar_55.jpg,Oscar,train
data/input/Fish\Cray\Cray_41.jpg,Cray,train
data/input/Fish\Discuss\Discuss_59.jpg,Discuss,train
data/input/Fish\Discuss\Discuss_164.jpg,Discuss,train
data/input/Fish\Oscar\Oscar_26.jpg,Oscar,train
data/input/Fish\Discuss\Discuss_74.jpg,Discuss,train
data/input/Fish\Oscar\Oscar_111.jpg,Oscar,train
data/input/Fish\Bete\Bete_22.jpg,Bete,train
data/input/Fish\Bete\Bete_185.jpg,Bete,train
data/input/Fish\Bete\Bete_32.jpg,Bete,train
data/input/Fish\Cray\Cray_52.jpg,Cray,train
data/input/Fish\Oscar\Oscar_106.jpg,Oscar,train
data/input/Fish\Gold\Gold_147.jpg,Gold,train
data/input/Fish\Cray\Cray_67.jpg,Cray,train
data/input/Fish\Gold\Gold_6.jpg,Gold,train
data/input/Fish\Guppy\Guppy_25.jpg,Guppy,train
data/input/Fish\Gold\Gold_93.jpg,Gold,train
data/input/Fish\Discuss\Discuss_95.jpg,Discuss,train
data/input/Fish\Gold\Gold_15.jpg,Gold,train
data/input/Fish\Cray\Cray_31.jpg,Cray,train
data/input/Fish\Discuss\Discuss_185.jpg,Discuss,train
data/input/Fish\Oscar\Oscar_51.jpg,Oscar,train
data/input/Fish\Discuss\Discuss_167.jpg,Discuss,train
data/input/Fish\Guppy\Guppy_136.jpg,Guppy,train
data/input/Fish\Bete\Bete_16.jpg,Bete,train
data/input/Fish\Guppy\Guppy_115.jpg,Guppy,train
data/input/Fish\Gold\Gold_4.jpg,Gold,train
data/input/Fish\Oscar\Oscar_40.jpg,Oscar,train
data/input/Fish\Guppy\Guppy_150.jpg,Guppy,train
data/input/Fish\Bete\Bete_55.jpg,Bete,train
data/input/Fish\Oscar\Oscar_83.jpg,Oscar,train
data/input/Fish\Cray\Cray_63.jpg,Cray,train
data/input/Fish\Guppy\Guppy_50.png,Guppy,train
data/input/Fish\Bete\Bete_161.jpg,Bete,train
data/input/Fish\Bete\Bete_8.jpg,Bete,train
data/input/Fish\Guppy\Guppy_93.jpg,Guppy,train
data/input/Fish\Bete\Bete_46.jpg,Bete,train
data/input/Fish\Oscar\Oscar_142.jpg,Oscar,train
data/input/Fish\Oscar\Oscar_130.jpg,Oscar,train
data/input/Fish\Gold\Gold_90.jpg,Gold,train
data/input/Fish\Gold\Gold_115.jpg,Gold,train
data/input/Fish\Cray\Cray_22.jpg,Cray,train
data/input/Fish\Discuss\Discuss_150.png,Discuss,train
data/input/Fish\Guppy\Guppy_17.jpg,Guppy,train
data/input/Fish\Guppy\Guppy_92.jpg,Guppy,train
data/input/Fish\Gold\Gold_176.jpg,Gold,train
data/input/Fish\Bete\Bete_51.jpg,Bete,train
data/input/Fish\Bete\Bete_89.jpg,Bete,train
data/input/Fish\Oscar\Oscar_4.jpg,Oscar,train
data/input/Fish\Gold\Gold_84.jpg,Gold,train
data/input/Fish\Cray\Cray_2.jpg,Cray,train
data/input/Fish\Bete\Bete_186.jpg,Bete,train
data/input/Fish\Discuss\Discuss_175.jpg,Discuss,train
data/input/Fish\Discuss\Discuss_68.jpg,Discuss,train
data/input/Fish\Discuss\Discuss_61.jpg,Discuss,train
data/input/Fish\Discuss\Discuss_37.jpg,Discuss,train
data/input/Fish\Gold\Gold_179.jpg,Gold,train
data/input/Fish\Discuss\Discuss_183.jpg,Discuss,train
data/input/Fish\Discuss\Discuss_129.jpg,Discuss,train
data/input/Fish\Gold\Gold_175.jpg,Gold,train
data/input/Fish\Bete\Bete_103.jpg,Bete,train
data/input/Fish\Bete\Bete_25.jpg,Bete,train
data/input/Fish\Bete\Bete_107.jpg,Bete,train
data/input/Fish\Gold\Gold_167.jpg,Gold,train
data/input/Fish\Bete\Bete_52.jpg,Bete,train
data/input/Fish\Gold\Gold_164.jpg,Gold,train
data/input/Fish\Discuss\Discuss_72.jpg,Discuss,train
data/input/Fish\Discuss\Discuss_151.png,Discuss,train
data/input/Fish\Bete\Bete_184.jpg,Bete,train
data/input/Fish\Guppy\Guppy_54.jpg,Guppy,train
data/input/Fish\Bete\Bete_73.jpg,Bete,train
data/input/Fish\Guppy\Guppy_168.jpg,Guppy,train
data/input/Fish\Cray\Cray_66.jpg,Cray,train
data/input/Fish\Oscar\Oscar_134.jpg,Oscar,train
data/input/Fish\Bete\Bete_57.jpg,Bete,train
data/input/Fish\Discuss\Discuss_155.jpg,Discuss,train
